institution,location,size,focus,research,age,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Faculty Ratio,QS2023 International Student Ratio,QS2023 International Research Network,QS2023 Employment Outcomes,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 International Faculty Ratio,QS2022 International Student Ratio,THE2020 Teaching,THE2020 International,THE2020 Research,THE2020 Citations,THE2020 Income,THE2020 Overall Score,Number of Students,Student Staff Ratio,International Student Proportion
University of Pisa,Italy,>30000 Students,Fully Comprehensive,Very High,100+ Years,40.6,14.7,7,41.7,6.6,4.6,90.8,12.1,40.5,16.5,7.8,44.1,2,4.9,31.2,40.9,26.5,74.3,40.5,43.7,33726,22.4,0.06
Satbayev University,Kazakhstan,5000-12000 Students,Focused,Very High,50-99 Years,18.7,28.9,79.7,1.3,22.8,4.1,12,13.7,15.2,21.4,75.6,1.4,2.4,1.9,,,,,,,,,
Sichuan University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,25-49 Years,18.2,4,14.6,83.5,5.9,5.8,69.2,18.6,17.7,4.7,18.9,69.7,3.2,6.1,30.6,25.3,24.8,38.3,63.8,31.6,64648,13.8,0.04
South China University of Technology,China (Mainland),>30000 Students,Comprehensive,Very High,25-49 Years,10.7,3.5,18.6,93.7,10.5,4.6,65.1,28.9,12.1,3.8,17.3,92.9,3.4,4.3,24,30.8,29.1,61.2,85.4,38.7,41139,13.9,0.05
Colorado State University,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,19.1,19.2,63.5,20.8,21.2,5.3,77.9,19.8,19.5,20.9,59.4,20.6,10,6.6,,,,,,,,,
Technion - Israel Institute of Technology,Israel,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,25,24.3,35.4,23.2,67,4.6,54.4,49.1,26.2,28.4,27.4,51,61.7,4.2,,,,,,,,,
HUFS - Hankuk (Korea) University of Foreign Studies ,South Korea,12000-30000 Students,Comprehensive,High,25-49 Years,11.3,26,82.3,1.6,34,41.3,13,7.8,11.7,23.8,79,1.6,16.1,39.5,,,,,,,,,
Julius-Maximilians-Universität Würzburg,Germany,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,16.2,4.2,4.6,85.5,43.8,10.6,77.3,2.9,16.5,6.6,4.4,95.1,30.1,11.6,,,,,,,,,
         Brunel University London,United Kingdom,12000-30000 Students,Comprehensive,Very High,50-99 Years,11.1,13.2,9.9,49.4,99.7,98.6,86.7,22.4,11.5,15.6,11.7,64,99.8,97.9,26.9,95.3,26.9,63.2,36.8,43.2,10961,16.3,0.36
University of Johannesburg,South Africa,12000-30000 Students,Comprehensive,Very High,10-24 Years,15.2,21.5,40.3,18.3,94.3,58.4,88.1,38.9,14.5,18.6,40.7,16.9,92.1,55.9,19.7,69.2,25.8,42.5,40.4,32.6,26445,23.9,0.15
University of the Philippines,Philippines,>30000 Students,Fully Comprehensive,High,100+ Years,32.4,47.6,46.8,1.8,2.1,1.3,41.1,46.4,33.9,42.1,48.3,1.9,1.1,1.4,24.1,37.9,17.2,86.9,39.4,42.3,39877,8.4,0.01
Tampere University,Finland,12000-30000 Students,Fully Comprehensive,Very High,1-9 Years,23.7,27.7,27.7,37.8,36.3,6.9,84.3,5.8,25.2,24.2,26.4,40.4,20.1,7.6,26.4,49.3,34.7,81.8,52.6,47.9,15149,21.8,0.06
Ruhr-Universität Bochum,Germany,>30000 Students,Fully Comprehensive,Very High,50-99 Years,21.4,8.9,2.2,72.6,29.7,28.5,84.8,12.5,22.5,10,2,78.7,11.8,31.6,,,,,,,,,
"Stony Brook University, State University of New York",United States,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,19.3,9.8,31.7,34.7,47.5,60.2,79.1,24.5,20.1,10.3,34.6,41,31.7,70.8,,,,,,,,,
The American University in Cairo,Egypt,5000-12000 Students,Comprehensive,High,100+ Years,28.3,20.2,40.8,4.1,96.1,4.3,21.9,92.5,26.8,20.9,37.8,4.2,92,3.7,,,,,,,,,
University of Naples - Federico II,Italy,>30000 Students,Fully Comprehensive,Very High,100+ Years,34.2,14.8,4.8,55.4,2.6,1.1,91.3,17,32.5,14.6,5.1,57.1,1.2,1.1,,,,,,,,,
Johannes Gutenberg Universität Mainz,Germany,>30000 Students,Fully Comprehensive,Very High,100+ Years,21.3,15.6,54.4,17.4,39.3,17.9,92.5,11.2,21.8,15,54.5,20.3,15.2,19.6,,,,,,,,,
National Technical University of Athens,Greece,12000-30000 Students,Focused,Very High,100+ Years,18.7,45.7,5.3,67.9,1.4,7.5,68.9,68,19.2,40.5,6.1,69.1,1,7.1,23,38.6,12.8,45,71.5,28.9,14133,20.6,0.08
Shanghai University,China (Mainland),>30000 Students,Comprehensive,Very High,25-49 Years,21.1,8.5,54.2,22.3,44.3,7,56,13,24,8.9,50.5,18.3,37.1,7.4,21.2,31,24.8,29.6,60,26.5,36637,11.3,0.06
Xiamen University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,50-99 Years,23.9,8.8,21.8,59.3,6.1,3.8,61.6,23.7,25.7,8.4,23.5,57.7,2,4,27.3,31.5,22.9,57.1,53.3,35.9,40841,14.6,0.04
Flinders University,Australia,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,12.1,7,6.3,53.5,97.7,93.8,83.7,14.7,13.1,8.4,5.9,54,99.1,94.2,22.5,88,29.9,84.4,37.7,48.6,16844,25.8,0.34
Swansea University,United Kingdom,12000-30000 Students,Fully Comprehensive,High,100+ Years,18.5,33.7,25.9,24.4,72.8,52.8,83.2,7.3,15.8,24.5,32.3,25,65.2,53.1,21.3,83.2,24.1,93.3,36.8,48.8,16445,16.7,0.23
University at Buffalo SUNY,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,17.7,10.6,7.2,57.9,76,42.7,70.9,35.5,18.8,11.8,6.9,66.2,73.9,31.2,,,,,,,,,
National Sun Yat-sen University,Taiwan,5000-12000 Students,Comprehensive,Very High,25-49 Years,25.3,24.9,36.7,27.3,20.6,10.6,31.2,7.5,25.5,20,34.7,35.1,9.4,14.1,,,,,,,,,
"University of Colorado, Denver ",United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,7.9,8.2,100,11.6,4,10,75.4,4.6,8.3,8.5,100,12.7,1.5,10.6,,,,,,,,,
University of Science and Technology Beijing,China (Mainland),12000-30000 Students,Comprehensive,Very High,25-49 Years,13.1,3.4,11.8,93.2,3.7,3.4,56.2,4.6,15,4.3,12.8,90.4,1.5,3.5,27.2,20.3,25.2,29.5,54.4,27.5,24232,14.7,0.04
University of Witwatersrand,South Africa,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,25.1,38.9,12.3,30.5,80.8,9.1,91.4,89.2,24.9,30.3,12.4,36.4,76.1,9.5,,,,,,,,,
Universidad Austral,Argentina,<5000 Students,Focused,High,25-49 Years,17.5,32.7,77.9,1.8,2.7,9.5,3.6,11.5,15.4,38.8,85,1.7,1.2,9.7,,,,,,,,,
Université Laval,Canada,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,20,17.8,32,27.6,67.4,33.5,84.6,17,20.6,19.3,31.7,31.8,56.7,31.2,40.1,69.2,31.8,67.6,59.6,48.5,29250,17.3,0.13
Far Eastern Federal University,Russia,12000-30000 Students,Comprehensive,High,100+ Years,8.4,3.4,93.2,1.9,15.4,63.4,40.5,11.6,6.8,3.2,90.6,2,6.3,67.9,21.2,47,11.1,11.9,40.4,17.8,15601,10.3,0.19
Université de Strasbourg,France,>30000 Students,Fully Comprehensive,Very High,100+ Years,40.7,6.8,5.1,24.9,37.3,37.4,86.6,11.2,42.2,7.3,5.5,27.4,21.4,39.3,,,,,,,,,
National Taipei University of Technology,Taiwan,5000-12000 Students,Focused,Very High,25-49 Years,15.2,58.2,28.9,32.2,23.2,24.6,24.3,25.1,13.8,47.1,32.9,32.7,10.4,25,21.8,28.8,20.2,22.4,86.7,23.6,9994,15.9,0.08
Università Vita-Salute San Raffaele,Italy,<5000 Students,Specialist,Very High,25-49 Years,3,1.4,99.7,22.7,8.7,4.9,35.7,9.5,3.2,1.5,99.3,34.5,1.9,4,,,,,,,,,
Oxford Brookes University,United Kingdom,12000-30000 Students,Comprehensive,High,25-49 Years,27,41.4,13,9.2,67.3,71.9,52.1,32.7,26.6,53.1,13.9,10.3,55.4,65.4,28.5,78.4,24,37.4,34.6,33.7,13915,16.2,0.28
University of Coimbra,Portugal,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,30.1,13.8,14.5,38.6,12.3,33.7,86.3,30.9,28.6,17.3,16.8,32,3.6,48.8,23.7,58.7,28.1,47.4,41,35.2,21404,17.6,0.19
Wake Forest University,United States,5000-12000 Students,Fully Comprehensive,Very High,100+ Years,5.4,7.3,100,12.6,6,12.9,50.8,43,5.8,8.1,100,14,2,14.8,42.8,31.2,18.8,94.1,43.6,50.1,7675,4,0.09
Universidade Federal de São Paulo,Brazil,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,11.3,4.8,98.2,6.6,5.6,1.5,45.3,3.1,11.9,5.5,97.4,8.2,1.9,1.7,,,,,,,,,
Universität des Saarlandes,Germany,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,10.2,7.5,86.8,9,5.5,41,80.3,23.6,11.6,7.7,82.5,9,1.9,42.5,,,,,,,,,
              Amirkabir University of Technology,"Iran, Islamic Republic of",5000-12000 Students,Focused,Very High,50-99 Years,5,23.4,4.9,99.6,15.7,2.4,62.6,39.9,5.4,18,4.8,99.3,6.7,2.3,34.2,21.9,31.8,43.2,76.5,36.3,11580,21.6,0.02
Auezov South Kazakhstan University (SKU),Kazakhstan,12000-30000 Students,Comprehensive,Medium,50-99 Years,11.8,13.7,90.5,1,15,21.3,2.7,10.8,9.6,9.9,90.8,1,5.5,20.7,,,,,,,,,
Beihang University (former BUAA),China (Mainland),12000-30000 Students,Comprehensive,Very High,10-24 Years,13.1,4.4,31,67.8,8.3,5.5,52.1,13.8,14.4,5.3,25.7,85.4,2.7,5.8,,,,,,,,,
Illinois Institute of Technology,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,14.8,8.2,14.7,52.9,23.7,95,31.3,22.8,15.1,8,14.2,54.8,10.3,98.7,,,,,,,,,
SOAS University of London ,United Kingdom,<5000 Students,Specialist,Very High,100+ Years,17.9,10.2,23.8,16.4,100,99.7,17.9,68.6,19.9,12.8,30.4,15.4,100,100,,,,,,,,,
Washington State University,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,25.5,24.4,15.3,36.2,57.4,6.4,78.7,13.3,27,26.2,15.1,38,49.4,7.3,30.7,49.3,28.6,71.8,48.4,44.2,27957,18.1,0.07
Bogor Agricultural University,Indonesia,12000-30000 Students,Comprehensive,Very High,50-99 Years,19.6,28.5,60.7,1.7,54.6,3.3,21.6,11.6,18.9,21,55.1,1.6,43.3,3.3,,,,,,,,,
Hasselt University ,Belgium,5000-12000 Students,Focused,Very High,25-49 Years,4.7,3.8,78.8,16.6,68.6,25.3,74.1,11.7,4.5,4,76,19.3,49.8,24.8,,,,,,,,,
        Umm Al-Qura University ,Saudi Arabia,>30000 Students,Fully Comprehensive,High,50-99 Years,16.9,10.5,59.8,1.9,100,19.3,35.1,3.9,14.9,10.4,62.5,1.8,100,20.1,,,,,,,,,
Universidad de Montevideo (UM),Uruguay,<5000 Students,Fully Comprehensive,Low,25-49 Years,16.6,19.8,78.9,1.1,26.1,3.6,1.8,87.6,14.7,19.8,80.9,1.1,11.9,3.8,,,,,,,,,
"University of California, Riverside",United States,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,17.8,8.5,8,61.8,72,9.4,76,11.6,17.9,9.3,9.7,65.9,81.2,10.7,31.2,64.7,30.3,85.9,39.4,50.1,22272,18,0.14
Stellenbosch University,South Africa,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,24.5,35.7,3.6,51.2,21.5,9.1,86.6,53.8,24.5,27.4,3.6,51.7,8.9,9.7,29.5,54.8,34.6,74.4,59.1,47.1,24308,26.1,0.08
University of Tromsø The Arctic University of Norway,Norway,12000-30000 Students,Fully Comprehensive,High,50-99 Years,12.4,3.9,73.2,9.3,71.2,8.5,77.1,22.9,13.2,4,75.4,9.1,63.3,9,,,,,,,,,
York University,Canada,>30000 Students,Comprehensive,Very High,50-99 Years,22.6,31.3,6.1,28.2,52,82.1,60.8,48.7,22.4,36.4,8.1,22.2,24.2,81.9,28.2,75,37.6,50.7,45.4,41.7,46683,35.4,0.24
Institut National des Sciences Appliquées de Lyon (INSA),France,5000-12000 Students,Focused,Very High,50-99 Years,7.5,31.7,37.8,32.3,29,79,81,28.2,8.9,28,39.6,16.5,15.3,81.2,,,,,,,,,
Sogang University,South Korea,5000-12000 Students,Comprehensive,Very High,50-99 Years,18.1,44.5,51.6,6.3,9.8,36.2,13.8,30.3,18.2,38.4,47.2,9.1,2.8,30.2,24.4,34.9,28.2,23.6,47.7,26.7,9559,22.9,0.11
University of Trento,Italy,12000-30000 Students,Comprehensive,Very High,50-99 Years,24.6,9.4,18,46.6,31.8,6.1,85.8,7.2,24.9,10.1,16.6,54.8,13.3,5.9,27.7,57.7,31.7,77.8,41.5,46.5,12920,19.5,0.07
University of Florence,Italy,>30000 Students,Fully Comprehensive,Very High,50-99 Years,32.5,6.3,5.2,47.4,10.3,17,90.4,12.4,32.5,7.3,6,48.2,2.7,19.9,37.9,46.2,25.1,65.8,42.3,43.2,34686,20.4,0.11
James Cook University,Australia,5000-12000 Students,Fully Comprehensive,Very High,50-99 Years,13.9,10.2,11.9,63.3,55.7,19.5,79.6,7.6,15.1,11.3,9.5,65.1,64.7,33.8,23.3,75.7,28.4,93.3,45.9,50.3,11491,21.2,0.11
Rensselaer Polytechnic Institute,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,8.4,6.5,21,70.5,12.2,48.9,41,57.3,9.2,7.9,26.7,69.7,1.8,57,30,52.1,28.7,58.9,67,40.9,7798,15.6,0.2
Southeast University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,25-49 Years,11.1,6,29.5,68.7,10.4,3.9,62.1,5.2,12,5.6,33.6,63.8,2.7,4.3,29.6,26.9,33.4,42.7,97.3,36.2,32951,11.6,0.05
Universidad de Belgrano,Argentina,5000-12000 Students,Comprehensive,Medium,50-99 Years,9.4,17.4,89.8,1,6.4,28.4,,6.5,8,19.6,91,1,2.1,30,,,,,,,,,
"Essex, University of",United Kingdom,12000-30000 Students,Comprehensive,Very High,50-99 Years,16.2,8,12.3,28.1,99.7,98.3,71.8,12.8,17.5,10.9,11.6,30.4,100,98.9,,,,,,,,,
Universidad de Santiago de Chile (USACH),Chile,12000-30000 Students,Fully Comprehensive,High,100+ Years,41,58.1,8.3,4.9,7,2.4,46.6,4.4,37.6,63.1,8.8,4.8,2.3,2.5,,,,,,,,,
The National University of Science and Technology MISIS,Russia,5000-12000 Students,Comprehensive,Very High,50-99 Years,8.2,9.9,74.2,13.7,12.2,53.4,45.6,7.5,8.5,11.3,70.6,11.3,4.6,63.3,,,,,,,,,
Universidad de La Habana,Cuba,12000-30000 Students,Comprehensive,High,100+ Years,20.3,25.5,69.4,1.6,1.9,4.5,25.6,55.6,18.1,26.8,64.9,1.8,1.2,4.9,,,,,,,,,
University of Iowa,United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,20.7,13.3,48.2,24.4,15.8,5.9,81.3,30.6,20.7,14.9,46.1,29.1,7,9.1,43.1,46.5,29.5,82.3,54,51.3,28945,11.6,0.12
Dublin City University,Ireland,12000-30000 Students,Fully Comprehensive,High,25-49 Years,19.1,32.4,31.3,16.4,76.4,16.2,73.5,50.3,18.7,30.1,30.7,13.8,70.7,25.8,21,71.8,25.2,49.7,42.8,35.2,12619,24,0.1
Tulane University,United States,12000-30000 Students,Fully Comprehensive,High,100+ Years,9.5,4.2,86.7,11.4,13.7,10.9,74.9,44.1,10.1,4.8,90.3,14.3,5.3,16.5,42.3,41.9,24.1,72.7,37,45.8,11185,9.8,0.11
University of Cyprus (UCY),Cyprus,5000-12000 Students,Comprehensive,Very High,25-49 Years,9,3.1,5.1,71.7,87.6,27.4,84.2,57.4,9,4.2,5.5,81.2,72.7,24.3,,,,,,,,,
University of Saskatchewan,Canada,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,12,11.7,21.9,42.5,69.9,52.3,83.5,24.9,11.8,12,26.7,41,67.8,52.4,35.9,72.6,26.9,48.1,59.2,40.2,17194,17.7,0.2
Chang Gung University,Taiwan,5000-12000 Students,Focused,Very High,25-49 Years,4.8,4.9,69.4,40.5,4.3,5.2,26.3,8.6,4.7,4.3,65.6,44.1,1.5,6.2,23.3,24.5,26.3,29.8,84.9,27.8,7556,12.3,0.05
University of Turin,Italy,>30000 Students,Fully Comprehensive,Very High,100+ Years,37.5,6.5,3.3,39.8,5.2,6.6,86.5,23,34.2,7.9,3.5,42.9,2.3,10.8,22.6,44.3,27.3,75.3,45.4,42,55957,29.6,0.08
Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),Saudi Arabia,12000-30000 Students,Fully Comprehensive,High,25-49 Years,5.8,3.7,81.8,2,97.6,9.2,49.6,4.5,4.5,3.6,77.2,1.8,95.7,3.1,,,,,,,,,
Koç University,Turkey,5000-12000 Students,Fully Comprehensive,High,25-49 Years,20.4,36.3,31.2,23.4,30.3,10.6,42.6,24,18.5,27.5,39.5,19.7,17.2,6.5,26.9,49.7,34.4,49.2,60.2,38.4,5381,15.6,0.06
Martin-Luther-Universität Halle-Wittenberg,Germany,12000-30000 Students,Fully Comprehensive,High,100+ Years,14.6,4.5,83.9,5.7,,10.7,83.6,17.2,14.7,6.5,85,6,,11.2,,,,,,,,,
UNESP,Brazil,>30000 Students,Fully Comprehensive,Very High,25-49 Years,37,23.5,19.1,16.8,6.1,2.3,74.8,2.8,33.7,21.9,25.3,15.5,1.9,4,,,,,,,,,
Bond University,Australia,<5000 Students,Fully Comprehensive,High,25-49 Years,4.4,6.3,45.8,16.4,98.3,98.9,15.3,31.1,4.8,7.5,46.3,19.1,99,99,21.1,89.2,19.6,64.6,35.9,39.2,3341,10.3,0.43
Dongguk University ,South Korea,12000-30000 Students,Fully Comprehensive,High,50-99 Years,8.5,9.9,85.8,7.6,10.2,21.6,41.8,7.6,9.4,9.4,82.8,7.4,3.6,21.2,,,,,,,,,
Iowa State University,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,19.4,13.9,7.9,65.8,6,10.3,85.1,31,19.3,14.3,10.1,60.4,2.5,12.4,29.5,56.7,33,60.5,49.6,42.4,32469,18.8,0.12
Kazakh National Agrarian University KazNAU,Kazakhstan,5000-12000 Students,Specialist,Low,50-99 Years,14.7,13.8,73.5,1.1,29.2,19.9,5.8,15.8,12.5,10.4,68.6,1,14.4,20.5,,,,,,,,,
Universiti Utara Malaysia (UUM),Malaysia,12000-30000 Students,Specialist,Very High,25-49 Years,19.4,23.3,42.6,6.1,20.3,76,23.7,6.5,17.4,22.8,43.5,5.5,6.6,73.6,,,,,,,,,
Auckland University of Technology (AUT),New Zealand,12000-30000 Students,Comprehensive,Very High,10-24 Years,19.1,14.6,9.5,17.9,100,99.9,53.9,10.4,20.3,20.6,11.9,15.6,100,100,,,,,,,,,
University of Klagenfurt,Austria,<5000 Students,Focused,Very High,50-99 Years,4.3,2.9,56.6,11.4,95.2,84.8,43.4,49.7,4.5,3,52.9,12.7,92.9,78.4,25.3,87.3,16.5,86.5,37.2,46,3639,10.8,0.22
Ajou University ,South Korea,5000-12000 Students,Fully Comprehensive,Very High,25-49 Years,13.3,12.1,70,13.5,7.4,16.6,26.5,8.1,11.4,10.5,64.1,15.9,2.1,16.2,,,,,,,,,
Universidad Politécnica de Madrid (UPM),Spain,>30000 Students,Specialist,Very High,50-99 Years,30.8,50.1,17.4,10.8,3.2,27.1,77.8,44.7,30.2,53.2,19.3,11.4,1.4,35.6,,,,,,,,,
      Aix-Marseille University,France,>30000 Students,Fully Comprehensive,Very High,100+ Years,36,3.5,9.1,28.8,20,21.8,98.1,9.9,36.6,3.8,9.9,26.2,7.9,23,41.3,60.5,25.3,67.1,36.8,45.6,67857,16.6,0.12
Ben-Gurion University of The Negev,Israel,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,14.6,11.7,12.8,53,66.2,17.3,68.3,12.7,14.4,15.3,13.9,55.8,56.3,18.3,,,,,,,,,
Chiba University,Japan,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,16,6.7,71.8,11.1,8.2,6.1,39.3,3.6,16.3,7,73.2,12,2.2,6,28.7,25.9,19.1,32.8,51.4,27.4,13764,9.8,0.05
Justus-Liebig-University Giessen,Germany,12000-30000 Students,Fully Comprehensive,High,100+ Years,12.3,8.1,1.8,85.5,10.3,13.9,90.6,8.1,12,8.3,1.5,87.2,5.2,11.6,,,,,,,,,
The Catholic University of Korea ,South Korea,5000-12000 Students,Fully Comprehensive,Very High,25-49 Years,4.7,2.5,98.5,9.8,2.3,6.6,13.9,4.3,4.8,2.5,97.9,12.2,1.2,4.3,,,,,,,,,
Universidad ORT Uruguay,Uruguay,<5000 Students,Focused,High,50-99 Years,11.7,16.3,83.2,1.2,20.5,1.9,2.2,70,11.3,18.4,89.5,1.2,8.6,2,,,,,,,,,
University of Granada,Spain,>30000 Students,Fully Comprehensive,Very High,100+ Years,42.1,7.8,6.4,21.7,3.7,17.4,95.6,4.1,40,9.7,7.3,23.3,1.5,18.4,19.4,48.1,20.9,52,35.6,32.2,56044,15.4,0.1
Brandeis University,United States,5000-12000 Students,Comprehensive,Very High,50-99 Years,9.6,3.8,55.7,22.3,19.4,68.5,20.3,55.1,10.9,4.5,52.1,28.8,10.6,81.5,28.5,53.4,22.9,100,35.6,50.3,5375,12.2,0.27
Jilin University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,50-99 Years,13.5,44.5,42,25.8,13.7,2.4,55.5,20.2,13.8,34.9,44.6,26.1,4.7,2.5,27.3,20.4,16.2,27.4,43.3,23.9,70450,10.8,0.03
Central South University,China (Mainland),>30000 Students,Fully Comprehensive,Very High,10-24 Years,7.3,2,5.5,96.3,8.2,3.9,51,11.9,7.3,2.1,6.3,90.1,2.5,3.2,32,26,33.9,56,84.1,40.6,51546,18.4,0.02
"University of Rome ""Tor Vergata""",Italy,12000-30000 Students,Comprehensive,Very High,25-49 Years,31.6,12.6,6.8,34.3,9.4,29.4,75.2,14.6,30.7,14.6,6,37.7,2.1,28.9,,,,,,,,,
 Western Sydney University,Australia,>30000 Students,Fully Comprehensive,High,25-49 Years,16.5,18.1,4.7,33.9,100,56.3,84.6,6.4,17.7,22.5,5.7,30,100,50.8,,,,,,,,,
Bar-Ilan University,Israel,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,8.4,6.5,8.2,77.9,49.4,3.2,58.8,20.3,9.4,7.4,7.7,81.7,40.3,6.7,29.9,52.9,36.5,44.2,46.6,38.3,16723,17.5,0.05
     Colorado School of Mines,United States,5000-12000 Students,Focused,Very High,100+ Years,6.9,9.2,24.9,67.7,22.3,11.5,40.7,24.5,8.2,10.5,28.4,70.5,9.1,15.1,30.1,42.1,25.1,79.6,46.6,44.8,5768,16.7,0.11
Kyungpook National University,South Korea,12000-30000 Students,Fully Comprehensive,Very High,50-99 Years,14.2,19.2,60.8,14.7,8.1,16.5,54.9,14.1,13.5,17.3,55.7,15.1,2.4,10.7,24.5,29.3,28,25,43.4,26.5,24155,23.5,0.06
Middle East Technical University,Turkey,12000-30000 Students,Comprehensive,Very High,50-99 Years,26.8,52.7,8.5,25,10.7,14.7,58.5,30.1,25.4,42.3,7.8,24.1,4.2,13.1,28.7,30.4,23.2,30.7,62.1,28.6,27455,31.6,0.06
Missouri University of Science and Technology,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,3.2,4.3,7.2,79.9,86.9,8.2,35.2,4.2,3.4,4.7,7.7,79.3,73.1,11.2,24.2,66,24.6,59.2,52.9,38.7,8084,22.2,0.14
Université de Montpellier,France,>30000 Students,Focused,Very High,100+ Years,19.8,5.9,9.4,55.1,23.6,28.6,99.1,5.4,20.2,9.6,9.9,49.3,8.1,31.6,,,,,,,,,
University of Aveiro,Portugal,12000-30000 Students,Comprehensive,Very High,25-49 Years,13.1,6.3,18.4,68.9,4.8,8.1,92.4,8,12.1,6.1,24.4,45.7,,2.4,24.7,52.5,25.5,40.7,41.4,32.2,9774,16.5,0.12
University of St.Gallen (HSG),Switzerland,5000-12000 Students,Specialist,Very High,100+ Years,8.8,38.6,6.7,29.3,100,85.2,8,98.5,9.2,50.6,6.3,32.1,100,78.5,,,,,,,,,
University of Stirling,United Kingdom,5000-12000 Students,Comprehensive,Very High,50-99 Years,10.8,12.1,13.5,41.2,70,77.8,59.5,23.2,11.6,12.6,17.2,44.2,63.3,73.2,23.6,82.1,25.3,75.5,35.2,44.4,9250,15.8,0.23
University of Tehran,"Iran, Islamic Republic of",>30000 Students,Comprehensive,Very High,50-99 Years,22.6,27.5,4.2,55.8,2,2,80.2,28.5,22.3,22.7,3.9,52.8,1.2,2.1,36.7,23.3,23.5,38.7,34.4,32.3,53614,24.5,0.02
Yokohama City University,Japan,5000-12000 Students,Focused,Very High,50-99 Years,3.5,2.7,99.2,10.3,4.1,2.7,14.9,5.6,4.6,2.9,99.8,10.1,1.5,2.4,25.9,20.3,8.5,86.2,40.3,38.7,4910,4.5,0.02
Abai Kazakh National Pedagogical University,Kazakhstan,12000-30000 Students,Comprehensive,Medium,50-99 Years,19.4,17.1,60.1,1.1,37.7,3.2,3.2,13.7,15.4,12,66.2,1.1,16.1,2.7,,,,,,,,,
Florida State University,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,26.7,37.1,8.2,33.1,15,4.2,72.8,22.3,28.3,38.9,9.8,36,5.7,4.5,38,43.5,40.1,69.2,39.4,48.4,38520,24.1,0.07
"Goldsmiths, University of London",United Kingdom,5000-12000 Students,Focused,Very High,100+ Years,16.2,7.5,18.3,17.4,87.3,96.6,30.6,20.1,18.4,8.7,18.3,21.3,85,97.3,33.8,79.4,28.6,60.4,35.1,43.7,8486,15.3,0.35
Universidad de Alcalá,Spain,12000-30000 Students,Fully Comprehensive,High,25-49 Years,9.2,5.2,70,5,21.8,70.8,63.1,8,9.8,10.2,66.8,4.7,6.3,72.5,,,,,,,,,
Universidad de Costa Rica,Costa Rica,12000-30000 Students,Comprehensive,High,50-99 Years,31.2,44.7,32.6,1.8,,,33.5,51.7,28.2,45.9,31.4,1.8,,,,,,,,,,,
Università Cattolica del Sacro Cuore,Italy,12000-30000 Students,Focused,Very High,100+ Years,22.4,31.6,47.6,6.7,5.9,8,62.6,20.1,22,31.3,39.7,6.5,2,9,,,,,,,,,
University of Bayreuth,Germany,5000-12000 Students,Comprehensive,Very High,25-49 Years,9.9,16.8,42.8,28.9,51.5,23.9,75.4,27.7,10,15.6,38.7,34.3,31.8,21.4,34.7,55.4,34.5,55.8,59.9,43.2,9255,29.7,0.1
University of Canberra ,Australia,5000-12000 Students,Comprehensive,Very High,25-49 Years,12.9,8.8,3.1,43.6,94.4,70.1,55.5,7.4,14,11.3,3.2,49.2,99.7,85.1,,,,,,,,,
"University of Missouri, Columbia",United States,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,15.4,15.2,43.5,20.1,59.2,4,71.4,39.4,16.5,16.7,46.1,24.9,41.7,5.6,,,,,,,,,
Altai State University,Russia,5000-12000 Students,Focused,Very High,25-49 Years,7.7,5.1,81.3,1.4,7.5,58.7,12.4,4.6,5.9,5.4,80.2,1.4,1.8,38.2,,,,,,,,,
